id,type,text,section,confidence,evidence,timestamp
DAT_eeaa7d,Dataset,"(F) After the establishment of a DHEA-induced (60 mg/kg/day) PCOS-like model, mice were administered varying dosages of ATM (30 mg/ kg/day and 60 mg/kg/day) via intraperitoneal injection and then evaluated for (G) serum testos- terone (n = 6 per group), (H) estrous cycle analysis, (I) morphology of uterus, and (J) H&E staining of representative ova",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_779fa5,Dataset,"(K) After establishment of DHEA- induced (60 mg/kg/day) PCOS-like model, the mice received intragastric administration of ATM (100 mg/kg/day) and were then assessed for (L) serum testosterone (n = 6 to 8 per group), (M) estrous cycle analysis, (N) morphology of uterus, and (O) H&E staining of representative ovaries showing cystic follicle or atreti",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
ANA_38fa95,Analysis,"*P < 0.05, **P < 0.01.",full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
DAT_81cfc7,Dataset,"Subsequently, the rats were assessed for (B) serum testosterone (n = 3 to 6 biological replicates), (C) estrous cycle analysis, and (D) H&E staining of representative ovaries showing cystic follicle or atretic follicle (asterisk), antral follicle (hash symbol), and corpora lutea or corpus albicans (arrow; scale bars, 500 mm).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_7b0b32,Dataset,"Thereafter, the rats underwent the following assessments: (F) measurement of serum testosterone (n = 4 to 6 biological replicates), (G) estrous cycle analysis, and (H) H&E staining of representative ovaries showing cystic follicle or atretic follicle (asterisk), antral follicle (hash symbol), and corpora lutea or corpus albicans (arrow; scale bars,",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_451967,Dataset,(I and J) The indicated female rats were paired with proven stud males for mating and evaluated for (I) uterine implantation and (J) the quantity of pups in the first litter (n = 4 to 5 biological replicates).,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
EXP_3ed20e,Experiment,"To assess this, we measured steroid hormones in the supernatant of isolated ovarian theca- interstitial cells, which are a major source of excess testosterone biosynthesis in women with PCOS (Fig.",full_text,0.8,pattern:\bwe measured\b,2025-10-21 04:13:53
EXP_e84a33,Experiment,"Artemisinins limit testosterone production by reducing CYP11A1 To uncover the cellular pathways responsible for the decrease in androgen synthesis in- duced by artemisinins, we conducted mass spectrometry–based relative quantitative pro- teomics analysis on isolated theca-interstitial cells with or without ATM treatment.",full_text,0.8,pattern:\bwe conducted\b,2025-10-21 04:13:53
EXP_9425c9,Experiment,"To validate the IP-MS results, we conducted co-immunoprecipitation (co-IP) as- say by precipitating CYP11A1-Flag and found that interaction between LONP1 and CYP11A1 was dramatically enhanced by ATM and SM934 induction, although precipitated CYP11A1 in the artemisinin-treated group was even lower than in control, primarily because of down-regulated",full_text,0.8,pattern:\bwe conducted\b,2025-10-21 04:13:53
DAT_d88a4b,Dataset,"Testosterone in the cell supernatant under ATM [(B), n = 3 to 4 biological replicates per group] and SM934 treatment [(C), n = 5 per group] were quantified and normalized to the total protein content.",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_461690,Dataset,"Pregnenolone [(D), n = 4 per group)], progesterone [(E), n = 5 per group], and 17a-OHP [(F), n = 5 per group] were measured in ATM-treated cells.",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_bc7d78,Dataset,"Pregnenolone [(G), n = 5 per group], progesterone [(H), n = 5 per group], and 17a-OHP [(I), n = 5 per group] were measured in SM934-treated cells.",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_424973,Dataset,"(J) Mouse ovarian theca- interstitial cells were treated with ATM (5 mM) for 48 hours, followed by MS- based quantitative proteomics analysis (n = 3 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
ANA_29574c,Analysis,Volcano plots illustrate the significant (P < 0.05) alterations in protein expression induced by ATM.,full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
EXP_553e8d,Experiment,"CYP11A1 quantification, normalized to the loading control, was calculated on the basis of three repeated experiments.",full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
EXP_7880ef,Experiment,"To confirm whether LONP1 directly mediated the down-regulation of CYP11A1, we conducted in vitro protease assay using purified CYP11A1 and LONP1 proteins.",full_text,0.8,pattern:\bwe conducted\b,2025-10-21 04:13:53
DAT_8cf8ac,Dataset,"Publicly available data from the Gene Ex- pression Omnibus (GEO, accession no.",full_text,0.8,pattern:\bdata from\b,2025-10-21 04:13:53
DAT_c53843,Dataset,GSE1615) indicated that LONP1 expression levels in theca cells from PCOS patients were significantly (P = 0.0104) lower as compared with levels found in normal theca cells (Fig.,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_0bd55f,Dataset,(100 mg/kg/day) (n = 4 biological replicates).,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_db1b88,Dataset,"Progesterone, 17a-OHP, and testosterone in the cell supernatant were measured and normalized to total protein (n = 4 to 5 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_7858c5,Dataset,"Following a 48-hour incubation with 5 mM ATM or SM934, the testosterone in the cell supernatant was detected and normalized to total protein content (n = 3 to 5 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_128e7a,Dataset,"Following a 48-hour incubation with 5 mM ATM or SM934, progesterone, 17a-OHP, and testosterone in cell supernatant were detected and normalized to total protein (n = 4 to 6 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
EXP_1e6f84,Experiment,"Subsequently, we conducted a bio-ATS cap- ture assay and found that bio-ATS exhibited binding affinity toward the LONP1 protein in- stead of CYP11A1 (Fig.",full_text,0.8,pattern:\bwe conducted\b,2025-10-21 04:13:53
EXP_39f76d,Experiment,"The experiments in (A), (B), and (D) to (H) were repeated at least two to three times.",full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_48101b,Dataset,"(B) HEK293T cells stably expressing CYP11A1- Flag were co-treated with 5 mM ATM and a specified dosage of CDDO-Me for 11 hours, then CYP11A1 was detected by a Flag antibody, and the blots were quantified (n = 3 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
EXP_85402b,Experiment,CYP11A1 and CYP17A1 were detected and quantified from dependent experiments (n = 3 to 4 biological replicates).,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_474bd6,Dataset,(D) CYP11A1 levels were detected and quantified (n = 3 biological replicates) by a Flag antibody in HEK293T cells overexpressing WT-LONP1 and LONP1 (S844A).,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_68672b,Dataset,(H) Western blot analysis of CYP11A1 and its quantification in ovarian theca-interstitial cells following LONP1 overexpression through adenovirus (n = 3 biological replicates).,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
EXP_896fd8,Experiment,"Therapeutic effect of dihydroartemisinin in patients with PCOS Lastly, we performed a pilot clinical study to validate the efficacy of artemisinins in treating patients with PCOS.",full_text,0.8,pattern:\bwe performed\b,2025-10-21 04:13:53
ANA_3c2d65,Analysis,Treatment with dihydroartemisinin significantly (P < 0.0001) reduced serum testosterone among individu- als with PCOS (Fig.,full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
DAT_b5778b,Dataset,Serum AMH levels strongly cor- relate with the number of growing follicles and are therefore typically elevated in PCOS patients (3).,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
ANA_7c7fe5,Analysis,Dihydroartemisinin treatment sig- nificantly (P < 0.0001) decreased the serum AMH (Fig.,full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
DAT_aadaa6,Dataset,"Addition- ally, regular menstrual cycles were restored in 63.16% (12/19) of all patients with PCOS (Fig.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_4f7f37,Dataset,"Together, dihydroartemisinin effectively ameliorated the hyperandrogene- mia, improved polycystic ovarian morphology, and contributed to the normalization of men- struation in PCOS patients.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_60c8bb,Dataset,"In this study, we observed that artemisinins exhibited benefits to the reproductive endocrine in the PCOS-like rodent models and patients, with efficacy against hyperandrogenism, irregular estrous cycles, and polycystic ovaries.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
EXP_5b0810,Experiment,"However, in the preventive experiments, we did not observe an obvious metabolic effect of artemisinins in PCOS-like mouse model, indicating that the effect of artemisinins in alleviating PCOS might not rely on the improvement of systemic met- The effect of artemisinins on steroidogenesis may be linked to their antimalaria function.",full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_5391a0,Dataset,"Recently, it was reported that infection- responsive malaria-associated pregnenolone the cell supernatant of ovarian theca-interstitial cells were measured and normalized to total protein content (n = 5 to 6 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_67299e,Dataset,(M) CYP11A1 expression and its quantification in the ovaries (n = 3 biological replicates).,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_65a6c1,Dataset,(N) Serum testosterone was measured in LONP1- overexpressed and control mice (n = 4 to 5 biological replicates).,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
DAT_33d66d,Dataset,(O) Publicly available data revealed LONP1 expression in theca cells derived from PCOS patients and healthy controls (GEO accession no.,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_c3b81e,Dataset,"GSE1615, n = 4 to 5 biological replicates).",full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
ANA_56b170,Analysis,"*P < 0.05, **P < 0.01, ***P < 0.001.",full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
EXP_fb6473,Experiment,The KD value was calculated from three dependent experiments.,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
EXP_297549,Experiment,The experiments in (B) and (E) to (J) were repeated at least two to three times.,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_45398e,Dataset,"Considering our observation that artemisinins inhibit pregnenolone production, it would be worthwhile to test whether arte- misinins can restore pregnenolone levels in malaria patients, thereby repressing the infec- tion.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
EXP_ce1fe7,Experiment,"In this study, we used a peripubertal DHEA model, displaying elevated serum tes- tosterone levels, irregular estrous cycles, and polycystic ovarian morphology.",full_text,0.8,pattern:\bwe used\b,2025-10-21 04:13:53
CON_88db2c,Conclusion,Our findings indicate that artemisinins may serve as molecular-glue degraders that direct LONP1 to degrade CYP11A1.,full_text,0.8,pattern:\bour findings\b,2025-10-21 04:13:53
EXP_ba47a6,Experiment,This emerging strategy enables the depletion of therapeutic targets that were previously inaccessible by conventional pharmacological methods.,full_text,0.8,pattern:\bmethods\b,2025-10-21 04:13:53
DAT_9ee783,Dataset,Therapeutic effect of dihydroartemisinin in patients with PCOS.,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_c850d3,Dataset,(A to D) Patients (n = 19) meeting all three PCOS diagnostic criteria were treated with oral dihydroartemisinin at a dosage of 40 mg three times daily for a duration of 12 weeks.,full_text,0.8,pattern:\bn\s*=\s*\d+,2025-10-21 04:13:53
ANA_31fccc,Analysis,"**P < 0.01, ***P < 0.001.",full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
HYP_960d26,Hypothesis,"Overall, we propose a model in which arte- misinin derivatives protect against PCOS de- velopment by inhibiting ovarian androgen production.",full_text,0.8,pattern:\bwe propose\b,2025-10-21 04:13:53
DAT_122ba2,Dataset,"Consequently, artemisinins show efficacy in ameliorating PCOS symptoms in both rodents and human patients.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_bbc354,Dataset,Our findings not only demonstrate the ther- apeutic effect of artemisinins on PCOS patients but also highlight their potential as molecular- glue degraders.,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
EXP_0c2d4a,Experiment,Materials and methods All the C57BL/6J mice (Cat no.,full_text,0.8,pattern:\bmethods\b,2025-10-21 04:13:53
EXP_e268bf,Experiment,All animals were housed at 21° ± 1°C with a humidity of 50 ± 5% in a 12-hour light/dark cycle and were fed ad libitum with standard mouse or rat feed and water throughout the experiments.,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_d277a2,Dataset,Patients included in this study fulfilled the following criteria: 1) Aged 16 to 35 years (inclusive); 2) BMI be- tween 20 and 30 kg/m2; 3) No plan for preg- nancy in the ensuing 6 months; 4) Meeting all the Rotterdam diagnostic criteria: a) Men- strual abnormalities: oligomenorrhea (more than 35 days between menstrual periods and less than eight me,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_ebb56b,Dataset,"2) Patients with other diseases that can cause secondary polycystic ovaries, in- cluding 21-hydroxylase deficiency, prolacti- noma, hypothyroidism, Cushing’s syndrome, etc.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_5598ed,Dataset,"4) Patients with other serious diseases involving heart, liver, kidney, or other major organs.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_2bfd93,Dataset,5) Patients with any type of cancer.,full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:53
DAT_4c0201,Dataset,Informed consent was obtained from all par- ticipants before enrolment.,full_text,0.8,pattern:\bobtained from\b,2025-10-21 04:13:53
DAT_586a3c,Dataset,"For 8 consecutive days, vaginal cells were collected from the spe- cified mice or rats by saline lavage, with daily samples obtained.",full_text,0.8,pattern:\bsamples\b,2025-10-21 04:13:53
DAT_91b96a,Dataset,The samples were subjected to Giemsa staining and visualized under a light microscopy.,full_text,0.8,pattern:\bsamples\b,2025-10-21 04:13:53
DAT_0b0253,Dataset,"Blood glucose obtained from tail bleeds was monitored at 0, 30, 60, 90, and 120 min after insulin administration using a glucometer monitor (Roche).",full_text,0.8,pattern:\bobtained from\b,2025-10-21 04:13:53
ANA_61d5bc,Analysis,"The proteins with differential expression (P < 0.05, fold change > 1.2, or fold change < 0.83) were listed in table S1.",full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:53
EXP_1ce55f,Experiment,Results are pre- sented as means and standard deviations (SD) from three independent experiments.,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
EXP_3f7733,Experiment,Surface plasmon resonance (SPR) assay SPR experiments were performed using a Biacore 8K instrument (GE Healthcare).,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:53
DAT_1321be,Dataset,Solvent correction was made with slight variations in DMSO concentration between samples; four solvent samples ranging from 1.5 to 3% DMSO were injected at the beginning and end of the analysis.,full_text,0.8,pattern:\bsamples\b,2025-10-21 04:13:53
DAT_ba9389,Dataset,"Molecular docking of artemisinins with LONP1 The structural model of LONP1 was obtained from the Protein Data Bank (LONP1, PDB: 6WZV).",full_text,0.8,pattern:\bobtained from\b,2025-10-21 04:13:53
DAT_57c632,Dataset,"The resulting stained samples were observed with a high-quality microscope (BX53F, Olympus).",full_text,0.8,pattern:\bsamples\b,2025-10-21 04:13:53
ANA_8cbbef,Analysis,Statistical analysis All statistics were calculated using GraphPad Prism software.,full_text,0.8,pattern:\bstatistical analysis\b,2025-10-21 04:13:53
ANA_165407,Analysis,"To compare more than two groups, the one-way ANOVA with Bonfer- roni test was used to analyze normally dis- tributed data; nonparametric statistical analysis for the data without a normal distribution was performed using the Kruskal-Wallis test with Dunn’s test for multiple comparisons.",full_text,0.8,pattern:\bstatistical analysis\b,2025-10-21 04:13:53
ANA_597a16,Analysis,"A two- way ANOVA with Bonferroni post hoc multi- ple comparison test was used for comparison between multiple groups with two fixed fac- tors, with P < 0.05 considered as statistically significant.",full_text,0.8,pattern:\bp\s*[<≤]\s*0\.\d+,2025-10-21 04:13:54
ANA_6f03d1,Analysis,Statistical analysis used in each panel was described in the figure legends.,full_text,0.8,pattern:\bstatistical analysis\b,2025-10-21 04:13:54
DAT_2fa2f1,Dataset,"Franks, The management of patients with polycystic ovary syndrome.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:54
DAT_c9fb10,Dataset,"Nelson et al., The biochemical basis for increased testosterone production in theca cells propagated from patients with polycystic ovary syndrome.",full_text,0.8,pattern:\bpatients\b,2025-10-21 04:13:54
EXP_73528a,Experiment,"Methods 6, 359–362 (2009).",full_text,0.8,pattern:\bmethods\b,2025-10-21 04:13:54
EXP_68a3fa,Experiment,Ke at Fudan University for assisting in animal model experiments.,full_text,0.8,pattern:\bexperiments\b,2025-10-21 04:13:54
